Laikas,skaicius
20180610,74
20180617,61
20180624,66
20180701,54
20180708,51
20180715,62
20180722,67
20180729,57
20180805,61
20180812,61
20180819,51
20180826,50
20180902,56
20180909,50
20180916,45
20180923,42
20180930,36
20181007,40
20181014,37
20181021,34
20181028,34
20181104,33
20181111,48
20181118,70
20181125,74
20181202,61
20181209,59
20181216,61
20181223,51
20181230,40
20190106,42
20190113,35
20190120,33
20190127,33
20190203,37
20190210,32
20190217,37
20190224,36
20190303,33
20190310,31
20190317,33
20190324,31
20190331,62
20190407,49
20190414,43
20190421,45
20190428,39
20190505,59
20190512,100
20190519,70
20190526,75
20190602,60
